"ID","time","lon","lat","hdop","x","y","depth"
4405883,2007-04-03 03:54:00,NA,NA,NA,NA,NA,-202
4405883,2007-04-03 03:58:07,-111.934,27.9848,20.7,66039.3312602176,61761.8875130299,NA
4405883,2007-04-03 03:59:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 04:03:01,-111.9342,27.9837,11.8,66030.7587437104,61636.930177202,NA
4405883,2007-04-03 04:04:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 04:09:00,NA,NA,NA,NA,NA,-182
4405883,2007-04-03 04:14:00,NA,NA,NA,NA,NA,-238
4405883,2007-04-03 04:19:00,NA,NA,NA,NA,NA,-254
4405883,2007-04-03 04:24:00,NA,NA,NA,NA,NA,-236
4405883,2007-04-03 04:29:00,NA,NA,NA,NA,NA,-179
4405883,2007-04-03 04:34:00,NA,NA,NA,NA,NA,-145
4405883,2007-04-03 04:36:16,-111.9363,27.9645,27.1,66019.2380496201,59468.5449043121,NA
4405883,2007-04-03 04:39:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 04:43:01,-111.9386,27.9628,20.1,65808.0902129917,59257.2870384636,NA
4405883,2007-04-03 04:44:00,NA,NA,NA,NA,NA,-77
4405883,2007-04-03 04:49:00,NA,NA,NA,NA,NA,-170
4405883,2007-04-03 04:54:00,NA,NA,NA,NA,NA,-205
4405883,2007-04-03 04:59:00,NA,NA,NA,NA,NA,-196
4405883,2007-04-03 05:04:00,NA,NA,NA,NA,NA,-174
4405883,2007-04-03 05:09:00,NA,NA,NA,NA,NA,-142
4405883,2007-04-03 05:12:22,-111.9482,27.9451,18.6,65035.3819134918,57188.552632032,NA
4405883,2007-04-03 05:14:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 05:19:00,NA,NA,NA,NA,NA,-78
4405883,2007-04-03 05:24:00,NA,NA,NA,NA,NA,-158
4405883,2007-04-03 05:29:00,NA,NA,NA,NA,NA,-193
4405883,2007-04-03 05:34:00,NA,NA,NA,NA,NA,-214
4405883,2007-04-03 05:39:00,NA,NA,NA,NA,NA,-201
4405883,2007-04-03 05:44:00,NA,NA,NA,NA,NA,-88
4405883,2007-04-03 05:45:38,-111.9392,27.9308,10.4,66076.671468779,55669.7424006788,NA
4405883,2007-04-03 05:49:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 05:51:00,-111.938,27.9298,15,66206.2297162826,55568.7279854198,NA
4405883,2007-04-03 05:54:00,NA,NA,NA,NA,NA,-118
4405883,2007-04-03 05:59:00,NA,NA,NA,NA,NA,-214
4405883,2007-04-03 06:04:00,NA,NA,NA,NA,NA,-173
4405883,2007-04-03 06:09:00,NA,NA,NA,NA,NA,-224
4405883,2007-04-03 06:14:00,NA,NA,NA,NA,NA,-91
4405883,2007-04-03 06:15:24,-111.9232,27.9236,11.4,67741.3514743396,55009.5330182877,NA
4405883,2007-04-03 06:19:00,NA,NA,NA,NA,NA,-52
4405883,2007-04-03 06:21:02,-111.9214,27.9212,5,67944.966389548,54757.2778309123,NA
4405883,2007-04-03 06:24:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 06:29:00,NA,NA,NA,NA,NA,-191
4405883,2007-04-03 06:34:00,NA,NA,NA,NA,NA,-155
4405883,2007-04-03 06:39:00,NA,NA,NA,NA,NA,-164
4405883,2007-04-03 06:44:00,NA,NA,NA,NA,NA,-116
4405883,2007-04-03 06:49:00,-111.9072,27.9066,16.1,69506.99039538,53252.3999135187,1
4405883,2007-04-03 06:54:00,-111.907,27.9051,34.1,69542.2920263414,53086.3025202421,2
4405883,2007-04-03 06:59:00,NA,NA,NA,NA,NA,-153
4405883,2007-04-03 07:04:00,NA,NA,NA,NA,NA,-171
4405883,2007-04-03 07:09:00,NA,NA,NA,NA,NA,-179
4405883,2007-04-03 07:14:00,NA,NA,NA,NA,NA,-133
4405883,2007-04-03 07:19:00,NA,NA,NA,NA,NA,-173
4405883,2007-04-03 07:24:00,NA,NA,NA,NA,NA,-155
4405883,2007-04-03 07:27:14,-111.8877,27.9001,21.9,71513.2178567522,52702.8539515818,NA
4405883,2007-04-03 07:29:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 07:32:01,-111.8859,27.8996,14.7,71697.3941084393,52663.3356708474,NA
4405883,2007-04-03 07:34:00,NA,NA,NA,NA,NA,-23
4405883,2007-04-03 07:39:00,NA,NA,NA,NA,NA,-128
4405883,2007-04-03 07:44:00,NA,NA,NA,NA,NA,-137
