"x","vx","y","vy","depth","vdepth","time"
48880.5238193522,-0.0496206005789707,83147.5612381078,0.152515949168819,-70.9555019948694,-0.52774466551125,2007-04-02 21:54:00
48867.6448402818,-0.0323231232857349,83187.1465885298,0.0993495284788024,-188.864074666281,-0.447919053859916,2007-04-02 21:59:00
48863.504418795,0.00873519338137259,83199.8726397753,-0.0268495483584474,-282.117556025842,0.246836392649191,2007-04-02 22:04:00
48875.3440524958,0.0743911472208065,83163.4815165943,-0.22865330860166,-61.886825114057,0.716027020690013,2007-04-02 22:09:00
48880.5610604035,0.0914197155599726,83147.4461969867,-0.280993258992092,-23.326579814626,0.510515935663264,2007-04-02 22:10:03
48909.7962020081,0.154145916060018,83057.6388807448,-0.473138966874891,1.8758346371243,-0.369718686738863,2007-04-02 22:14:00
48966.8102746721,0.224340494249319,82882.9469651823,-0.686178682782208,-209.122882671664,-0.65894972104531,2007-04-02 22:19:00
49043.5045885512,0.285569903272023,82648.9015058258,-0.869499930831439,-327.121042779843,-0.239461358016527,2007-04-02 22:24:00
49137.3810116128,0.339082039712387,82363.8434738947,-1.02683892137,-366.669355776099,0.031929099343542,2007-04-02 22:29:00
49246.2915946977,0.385967516632076,82035.0741703083,-1.16140232794527,-308.972328957438,0.292548341473906,2007-04-02 22:34:00
49368.3947948401,0.427181891251419,81669.0040311916,-1.2759326422323,-216.185155085481,0.28574332438297,2007-04-02 22:39:00
49502.1179433795,0.463565139910905,81271.2832768758,-1.372764068046,-127.620312316155,0.384713173152335,2007-04-02 22:44:00
49646.12519392,0.495858777374293,80846.9170671627,-1.45387009404577,1.87451132140552,0.347345903366926,2007-04-02 22:49:00
49799.2902968905,0.524720969404496,80400.3675098148,-1.52090371478144,0.659794241807437,-0.545608839698224,2007-04-02 22:54:00
49960.673645829,0.550739946625131,79935.6446012757,-1.57523111983782,-268.114907101508,-0.825913407773673,2007-04-02 22:59:00
50129.5031275783,0.57444599305439,79456.387953059,-1.61795953769453,-395.502740816346,-0.0449959953549565,2007-04-02 23:04:00
50305.1583861083,0.596322253647009,78965.9409694447,-1.64995980178203,-339.278076614024,0.264328770029687,2007-04-02 23:09:00
50487.1581792486,0.616814581109915,78467.4189882744,-1.67188409864711,-261.843909509647,0.307365116840993,2007-04-02 23:14:00
50675.1505706542,0.636340622676614,77963.7727736007,-1.68417925994841,-141.790518549666,0.489944616627348,2007-04-02 23:19:00
50868.9057571103,0.655298332034991,77457.8486542135,-1.68709586918226,1.80979263472363,0.348846210961761,2007-04-02 23:24:00
51068.3113849906,0.674074079887412,76952.4465337067,-1.68069336874038,0.800934155514482,-0.504637509026014,2007-04-02 23:29:00
51273.3702604163,0.693050528441784,76450.3769543683,-1.66484127138487,-238.959332559333,-0.695952652023309,2007-04-02 23:34:00
51484.2004064477,0.712614430320978,75954.5183778944,-1.63921650083128,-361.357826170944,-0.295578787939755,2007-04-02 23:39:00
51701.0374684725,0.733164510837576,75467.8758503461,-1.6032968072392,-428.493780340625,-0.0253375519320631,2007-04-02 23:44:00
51924.2395168155,0.75511959427996,74993.6422469794,-1.55635012341369,-361.96405577759,0.400760576695097,2007-04-02 23:49:00
52154.2943444497,0.778927139828843,74535.2633451598,-1.49741964478999,-202.621737771985,0.671129944758254,2007-04-02 23:54:00
52391.8294085408,0.805072361071881,74096.508051588,-1.42530432912172,-8.65026008958941,0.414396886571876,2007-04-02 23:59:00
52637.6246184406,0.834088114978141,73681.5452151179,-1.33853441844321,1.56703213617639,-0.316959090936852,2007-04-03 00:04:00
52892.6282307567,0.866565761876244,73295.028590659,-1.23534148442751,-157.816915981537,-0.610429930917741,2007-04-03 00:09:00
53157.9761754511,0.903167217769787,72942.191685787,-1.11362238664439,-332.206900668517,-0.557041742595379,2007-04-03 00:14:00
53435.0152068464,0.944638444624169,72628.9544230977,-0.970896409163995,-441.955072281382,0.0311659440930244,2007-04-03 00:19:00
53725.3303513714,0.991824653565841,72362.0437921544,-0.804254701921571,-324.463472760198,0.502385807929753,2007-04-03 00:24:00
54030.7772114511,1.04568753084524,72149.1309499944,-0.610300996424782,-179.551437685131,0.556872774824951,2007-04-03 00:29:00
54353.519783914,1.10732483763996,71998.9875643954,-0.385082387550517,-13.5797671217421,0.363207314270032,2007-04-03 00:34:00
54491.4146807669,1.13512903012133,71957.8577305598,-0.282663716943097,13.3383105548466,0.0908349883181452,2007-04-03 00:36:03
54696.2052007506,1.18020747798977,71921.1823226058,-0.132184676707683,1.69933912521565,-0.222052896283757,2007-04-03 00:39:00
54845.9813405729,1.21689306211698,71911.2274002886,-0.0272369418654029,-37.5983028334213,-0.384984313453948,2007-04-03 00:41:05
55062.849386548,1.25684378924072,71917.7466480532,0.093083631109649,-111.950089847732,-0.435068717676197,2007-04-03 00:44:00
55442.3449758141,1.25924300090732,71962.403924375,0.17956869943692,-214.593668338518,-0.170270440706783,2007-04-03 00:49:00
55810.0419008325,1.17805270590852,72010.4922998838,0.11599639078694,-215.145145098548,0.0834998689331148,2007-04-03 00:54:00
56140.6579542557,1.01161818855905,72016.876714535,-0.0989289500639058,-168.606836098176,0.293351302182666,2007-04-03 00:59:00
56408.155194673,0.756547398813057,71935.5721511094,-0.469587652640641,-53.2174953692066,0.352825396940299,2007-04-03 01:04:00
56479.9191329259,0.648763119704725,71879.5358984893,-0.63233425039575,-22.590612070956,0.247211819583847,2007-04-03 01:05:42
56599.1088675786,0.618303946392011,71732.4884076714,-0.796170001542612,1.76232948036014,-0.0289734557425085,2007-04-03 01:09:00
56682.6562687172,0.786272315760382,71638.9587200262,-0.72856871024375,-15.2314094604253,-0.250073090872961,2007-04-03 01:11:01
56853.1863231136,1.10889244223349,71524.6149579888,-0.556261627987286,-92.8786250628706,-0.648643039904667,2007-04-03 01:14:00
57250.9952723226,1.51579114896544,71389.6492349535,-0.363219485763445,-291.300360869478,-0.241925753522456,2007-04-03 01:19:00
57746.5995529646,1.76196636591807,71295.0179510458,-0.286909607571266,-240.091579215017,0.142821865164463,2007-04-03 01:24:00
58292.6150139851,1.85243530699675,71205.9935742864,-0.325776753157382,-261.473877987806,-0.0689651837399137,2007-04-03 01:29:00
58842.684916586,1.78904178517335,71087.9628433963,-0.480613066290705,-254.250759155669,0.009897664064997,2007-04-03 01:34:00
59350.5351527795,1.57049379376113,70905.721326746,-0.754574218793366,-274.270195448363,-0.111287812284425,2007-04-03 01:39:00
59769.0311483422,1.19233717506644,70622.7559328446,-1.15324372528927,-246.4762735235,0.563529068119039,2007-04-03 01:44:00
60008.2167569696,0.765842439969366,70294.8964084776,-1.57116224406197,-39.7632160956901,0.808988059202601,2007-04-03 01:48:02
60049.628717466,0.668149309724393,70200.9333009321,-1.66237275696652,0.677372978961299,0.563828536045394,2007-04-03 01:49:00
60194.9771425907,0.645448466669155,69793.4255794552,-1.62118513999359,12.0666921939865,-0.39358689182431,2007-04-03 01:53:00
60235.7876636503,0.714078497090899,69698.9413233771,-1.52912997395757,-17.8786245870106,-0.6072247852846,2007-04-03 01:54:00
60493.5680137688,0.984477305712453,69301.2130699432,-1.14253877974755,-228.362088296862,-0.333616174257503,2007-04-03 01:59:00
60814.7248668931,1.13730464779753,69001.6865747965,-0.873341946544277,-196.759310684958,0.167313042082691,2007-04-03 02:04:00
61164.5128835961,1.17567524753979,68766.0246904697,-0.716053066770503,-196.884986182853,-0.067575006274364,2007-04-03 02:09:00
61508.7702457621,1.10037111977461,68561.1918713453,-0.667466493052725,-210.089121496627,-0.0118637411056876,2007-04-03 02:14:00
61813.2224156593,0.909857512440091,68354.7808872797,-0.726592002986406,-170.177571057001,0.405032315408021,2007-04-03 02:19:00
62042.7835981184,0.600251627914294,68114.3523428557,-0.894634617571935,-8.79800358208429,0.376360816566117,2007-04-03 02:24:00
62051.6474467,0.58154259843846,68100.8483266418,-0.905947667013494,-3.50027315838987,0.330476499747597,2007-04-03 02:24:15
62205.4586905691,0.635183859489568,67825.7854611425,-0.974771156592625,1.76126042231299,-0.227607373482887,2007-04-03 02:29:00
62208.0126123159,0.641804156957439,67821.8886543498,-0.973622483978919,0.838661923464503,-0.233663980257985,2007-04-03 02:29:04
62463.041756555,1.05353892796295,67544.9409608408,-0.903180512237296,-95.7192839349358,-0.301494293149942,2007-04-03 02:34:00
62820.7996216053,1.30405165237436,67280.5274580677,-0.865077601018872,-155.942730280103,-0.127734633400106,2007-04-03 02:39:00
63229.200408801,1.39173065013316,67022.6222648248,-0.859718242613068,-188.153305170104,-0.122612583851393,2007-04-03 02:44:00
63639.744247445,1.31836287259345,66761.4352924941,-0.886993212627548,-221.891491074288,-0.0361383631197784,2007-04-03 02:49:00
64003.9749418913,1.08245302995603,66487.1095668917,-0.947458395187498,-172.264507488817,0.451521478855482,2007-04-03 02:54:00
64269.7626001434,0.685702649506875,66193.6867205736,-1.0408468924112,-0.339072082087199,0.44229996348819,2007-04-03 02:58:56
64272.4925082065,0.679272714986913,66189.520342495,-1.04234178506059,1.40717549273272,0.43076457406702,2007-04-03 02:59:00
64440.5904418023,0.560993632374701,65860.60934094,-1.14850088845943,0.823711816226287,-0.501564643371621,2007-04-03 03:04:00
64441.1518375682,0.56179923983557,65859.4606723289,-1.14883632345416,0.319997867536898,-0.505856819488432,2007-04-03 03:04:01
64639.6496809289,0.747151181058662,65502.6369830603,-1.2324336485044,-186.005126788139,-0.221676843956416,2007-04-03 03:09:00
64877.6832163296,0.821258059347316,65124.4026319525,-1.28380967643696,-144.981123178163,-0.0784517397281164,2007-04-03 03:14:00
65121.3575133935,0.784819994130188,64735.5000203421,-1.30367593256071,-216.642449982034,0.240249922004364,2007-04-03 03:19:00
65329.7602263205,0.645170377654855,64360.8210371682,-1.29348486936772,-6.72886415376558,0.633115853109707,2007-04-03 03:23:48
65337.4548378238,0.63730452295917,64345.3047525372,-1.29261269870339,0.516570657662181,0.573342530287834,2007-04-03 03:24:00
65506.9845842542,0.517410751503165,63950.8248780299,-1.36864439964045,1.55996839367928,-0.436869492274822,2007-04-03 03:29:00
65508.0190977818,0.517103859848144,63948.0864506477,-1.36978439842008,0.681087870816045,-0.441998156005058,2007-04-03 03:29:02
65654.7547313243,0.465576114154402,63519.8721982393,-1.48617650359654,-170.375203438139,-0.472943520130351,2007-04-03 03:34:00
65784.9829578276,0.400262889937999,63069.9547936365,-1.49528356633767,-241.953916280568,-0.0792109345649305,2007-04-03 03:39:00
65893.4321455576,0.320136427360798,62633.5193322248,-1.39614453909462,-243.981253544696,0.0360491931588745,2007-04-03 03:44:00
65975.4213022459,0.223563694609295,62243.2872585427,-1.18673889808257,-235.337150294438,-0.00899433176601936,2007-04-03 03:49:00
66025.7301622579,0.10857647417095,61932.9216743463,-0.862798812537008,-200.807708127232,0.464586097660237,2007-04-03 03:54:00
66039.2509314218,-0.00156101307162859,61762.1973922838,-0.505529999467657,-29.5774795608433,0.655666245907846,2007-04-03 03:58:07
